numeroChip,fecha_nacimiento,fecha_implantacion,sexo,raza,aptitud,provincia,municipio
1F091A3F7F,15/01/1994,22/12/1994,H,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
2050753C5F,15/06/1994,02/08/1995,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
2002116964,06/03/1995,02/08/1995,H,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
1F555C1719,10/09/1993,24/11/1995,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,BURGOS
201C6A6674,10/06/1991,10/04/1995,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
7F7B1F1D55,15/12/1993,22/12/1994,H,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,BURGOS,CONDADO DE TREVIÑO
22202C3B23,01/05/1995,02/05/1996,H,GRIFFON NIVERNAIS - GRIFON DEL NIVERNAIS,CAZA,BURGOS,MIRANDA DE EBRO
405E281606,11/11/1996,06/03/1997,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,CAZA,LA RIOJA,VILLALBA DE RIOJA
2228506A4C,01/07/1995,10/07/1996,H,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,CAZA,BURGOS,BURGOS
403A0F2D34,16/08/1995,07/09/1996,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
4051436F70,15/06/1992,07/09/1996,M,SABUESO ESPAÑOL,CAZA,BURGOS,CONDADO DE TREVIÑO
405E696560,15/06/1990,07/09/1996,M,GRIFFON BLEU DE GASCOGNE - GRIFON AZUL DE GASCUÑA,CAZA,BURGOS,CONDADO DE TREVIÑO
401B0E7661,15/01/1994,07/10/1996,H,SABUESO DE SANGRE RASTREADOR DEL HANNOVER - HANNOVER'SCHER SCHWEISSHUND,CAZA,BURGOS,CONDADO DE TREVIÑO
4010065121,08/04/1996,20/09/1996,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
20540B136F,10/02/1995,08/01/1997,H,SABUESO ESPAÑOL,CAZA,LA RIOJA,VILLALBA DE RIOJA
204A59132A,01/01/1990,15/04/1996,H,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,ALBELDA DE IREGUA
1F53426765,01/01/1988,15/04/1996,M,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,ALBELDA DE IREGUA
204A085A34,01/01/1993,15/04/1996,H,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,ALBELDA DE IREGUA
20331F1F6F,01/01/1993,24/04/1996,M,POINTER,CAZA,LA RIOJA,OLLAURI
401C06433D,07/07/1996,06/05/1997,H,SETTER INGLES - ENGLISH SETTER,CAZA,LA RIOJA,CIHURI
403C4B6240,08/02/1997,08/09/1997,M,ROTTWEILER,GUARDA DEFENSA Y UTILIDAD,NAVARRA,GOIZUETA
401B4D3D5B,18/08/1997,09/01/1998,M,SAMOYEDO - SAMOIEDSKAÏA SABAKA,LUJO Y COMPAÑIA,SALAMANCA,CABRILLAS
401C424A35,01/09/1997,15/01/1998,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,LA RIOJA,TREVIANA
2013330A10,09/11/1995,07/02/1998,M,BRACO ALEMAN - DRATHAR - DRAHTHAAR - DEUTSCH DRAHTHAAR,LUJO Y COMPAÑIA,CANTABRIA,SANTANDER
4052273B04,01/01/1992,04/09/1997,H,GRIFON LEONADO DE BRETAÑA - FAWN BRITTANY GRIFFON - GRIFFON FAUVE DE BRETAGNE,CAZA,BURGOS,CONDADO DE TREVIÑO
401C7C236D,02/04/1997,15/07/1997,M,SCOTTISH TERRIER - TERRIER ESCOCES,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
"4,051567E+065",17/08/1997,06/02/1998,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,SEVILLA,SEVILLA
405E621D06,01/01/1990,20/10/1997,H,ROTTWEILER,LUJO Y COMPAÑIA,OURENSE,XINZO DE LIMIA
405E20315F,01/07/1997,15/01/1998,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CORUÑA (A),NEGREIRA
405E422130,04/01/1997,27/06/1997,M,COLLIE ROUGH - PASTOR ESCOCES DE PELO LARGO - COLLIE DE PELO LARGO -  ROUGH COLLIE,LUJO Y COMPAÑIA,BURGOS,BURGOS
117632724A,01/11/1997,04/08/1998,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,CAZA,LA RIOJA,LOGROÑO
121716137A,10/09/1997,22/05/1998,M,BOUVIER DES FLANDRES - VLAAMSE OEHOND - BOYERO DE FLANDES - FLANDES CATTLEDOG,LUJO Y COMPAÑIA,LA RIOJA,HARO
121651595A,16/06/1997,17/04/1998,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,BURGOS,PUEBLA DE ARGANZÓN (LA)
117659731A,02/02/1998,30/07/1998,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,NAVARRA,ALTSASU/ALSASUA
121639215A,26/11/1997,14/04/1998,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
401D27692B,01/11/1997,02/02/1998,H,DOGO ALEMAN - GRAN DANES - DEUTSCHE DOGGE,LUJO Y COMPAÑIA,BURGOS,PUEBLA DE ARGANZÓN (LA)
122131567A,11/11/1997,05/10/1998,M,POINTER,CAZA,CANTABRIA,SANTANDER
121639363A,01/10/1997,17/07/1998,M,AKITA INU,LUJO Y COMPAÑIA,BARCELONA,FÍGOLS
117535155A,17/04/1998,11/01/1999,M,BOXER,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
121824145A,28/09/1998,15/03/1999,M,STAFFORDSHIRE BULL TERRIER,LUJO Y COMPAÑIA,BURGOS,ARAUZO DE MIEL
117565116A,01/01/1998,12/11/1998,M,SETTER INGLES - ENGLISH SETTER,CAZA,LA RIOJA,CIHURI
121817512A,01/01/1998,29/01/1999,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
7F7A1A6366,01/01/1990,12/01/1994,M,PEKINES - PEQUINES - PEKINOIS - PEKINGESE,LUJO Y COMPAÑIA,BURGOS,MIRANDA DE EBRO
124775351A,25/05/1999,25/05/1999,M,SETTER IRLANDES ROJO - IRISH RED SETTER,CAZA,VALENCIA,VALENCIA
125251177A,26/12/1998,19/06/1999,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,LA RIOJA,FUENMAYOR
125417547A,24/06/1996,10/09/1999,H,MALAMUTE DE ALASKA - ALASKAN MALAMUTE,LUJO Y COMPAÑIA,NAVARRA,ALTSASU/ALSASUA
124859555A,01/12/1998,08/09/1999,M,SABUESO ESPAÑOL,CAZA,LEON,LEÓN
123949767A,15/03/1999,20/10/1999,M,MASTIN DEL PIRINEO,PASTOR,LA RIOJA,ALBELDA DE IREGUA
1F2C404035,17/08/1993,25/05/1994,H,SETTER INGLES - ENGLISH SETTER,CAZA,VALENCIA,ALZIRA
1F39692C13,28/12/1993,28/07/1994,H,POINTER,CAZA,CANTABRIA,CASTRO-URDIALES
1F4C327D66,01/01/1990,28/07/1994,H,POINTER,CAZA,CANTABRIA,CASTRO-URDIALES
1F21151F0C,01/01/1992,27/06/1994,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,PASTOR,CANTABRIA,VALLE DE VILLAVERDE
1F15372C69,01/04/1991,13/06/1994,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,LA RIOJA,LOGROÑO
1F21762A20,01/04/1993,30/06/1994,M,CHOW CHOW  (OSITO DE PELUCHE),LUJO Y COMPAÑIA,ZAMORA,SANZOLES
1F30584712,01/01/1992,13/07/1994,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
200C681458,01/11/1989,05/09/1994,M,EPAGNEUL BRETON - SPANIEL BRETON,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,CASTRO-URDIALES
"2,007657E+082",10/04/1988,20/09/1994,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
1F396E605A,01/02/1994,26/07/1994,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
1F79214F78,01/12/1993,26/10/1994,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,MADRID,MADRID
2050466664,01/01/1984,25/11/1994,H,PASTOR ESCOCES,LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
1F70786811,12/03/1993,17/10/1994,M,SETTER INGLES - ENGLISH SETTER,CAZA,BARCELONA,BARCELONA
1F5044222B,01/12/1993,20/12/1994,M,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,GUARDA DEFENSA Y UTILIDAD,CORUÑA (A),CURTIS
1F7A187D52,01/01/1992,15/12/1994,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,PASTOR,BARCELONA,BARCELONA
20005A196D,01/09/1994,02/02/1995,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,NAVARRA,ARAITZ
2054036722,26/10/1994,13/07/1995,M,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,CASTRO-URDIALES
1F5162141A,03/08/1994,17/10/1995,M,SETTER INGLES - ENGLISH SETTER,CAZA,VALLADOLID,VALLADOLID
20296B400C,01/10/1995,23/12/1995,M,EPAGNEUL BRETON - SPANIEL BRETON,LUJO Y COMPAÑIA,CANTABRIA,CARTES
1F54702677,15/05/1995,03/01/1996,M,POINTER,CAZA,ZAMORA,ZAMORA
203C304232,22/06/1995,28/12/1995,M,POINTER,CAZA,BURGOS,POZA DE LA SAL
20340B5D44,01/05/1994,02/01/1996,M,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,GUADALAJARA,ROBLEDO DE CORPES
1F54350A4E,13/08/1995,20/12/1995,M,SCHNAUZER GIGANTE - RIESENSCHNAUZER,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
20344F4716,21/06/1995,05/01/1996,M,ROTTWEILER,LUJO Y COMPAÑIA,NAVARRA,PAMPLONA/IRUÑA
221A5E581B,20/05/1989,25/01/1996,M,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
20314A065F,01/10/1992,28/12/1995,H,SETTER INGLES - ENGLISH SETTER,GUARDA DEFENSA Y UTILIDAD,BURGOS,PALAZUELOS DE LA SIERRA
4057263A0B,21/08/1995,21/08/1996,H,SETTER INGLES - ENGLISH SETTER,CAZA,LA RIOJA,LOGROÑO
220B30102C,15/03/1995,24/04/1996,M,BULL TERRIER INGLES,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
220B1A0E1D,22/10/1995,09/05/1996,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,CASTRO-URDIALES
221F0C4A03,01/06/1995,26/06/1996,M,SETTER IRLANDES ROJO - IRISH RED SETTER,CAZA,LA RIOJA,HARO
4051674100,19/09/1995,22/07/1996,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,ALICANTE ,TORREVIEJA
22203D4620,01/01/1993,12/01/1996,H,SETTER GORDON ESCOCES - GORDON SETTER,CAZA,PALENCIA,CASTRILLO DE VILLAVEGA
4051264810,07/05/1995,05/08/1996,M,HUSKY SIBERIANO - SIBERIAN HUSKY,LUJO Y COMPAÑIA,CANTABRIA,NOJA
405E634553,23/03/1996,14/11/1996,H,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
403C446751,13/07/1996,23/12/1996,M,MALAMUTE DE ALASKA - ALASKAN MALAMUTE,LUJO Y COMPAÑIA,CANTABRIA,CASTRO-URDIALES
401C4A037E,20/11/1995,16/07/1996,M,STAFFORDSHIRE BULL TERRIER,GUARDA DEFENSA Y UTILIDAD,LA RIOJA,CUZCURRITA DE RÍO TIRÓN
405060757C,01/07/1996,17/02/1997,H,ROTTWEILER,LUJO Y COMPAÑIA,CADIZ,LÍNEA DE LA CONCEPCIÓN (LA)
404E2C4F4E,24/01/1997,10/06/1997,M,ROTTWEILER,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,CASTRO-URDIALES
401C723422,16/05/1996,04/08/1997,H,MASTIN ESPAÑOL,GUARDA DEFENSA Y UTILIDAD,CANTABRIA,AMPUERO
403C152C60,01/04/1995,12/08/1997,H,FOX TERRIER - WIRE (PELO DURO) - WIRE FOX TERRIER,LUJO Y COMPAÑIA,CANTABRIA,SANTA CRUZ DE BEZANA
4036703265,01/04/1997,22/10/1997,M,SETTER GORDON ESCOCES - GORDON SETTER,CAZA,BURGOS,CUBO DE BUREBA
401C7A7973,24/05/1997,10/10/1997,M,FOX TERRIER - SMOOTH (PELO LISO) - SMOOTH FOX TERRIER,LUJO Y COMPAÑIA,BURGOS,BURGOS
402A550267,06/04/1997,10/06/1997,H,COCKER SPANIEL INGLES - ENGLISH COCKER SPANIEL,LUJO Y COMPAÑIA,PONTEVEDRA,ESTRADA (A)
405C2B4605,02/05/1995,13/10/1997,H,PASTOR ALEMAN - DEUTSCHER SCHAFERHUND - PASTOR ALSACIANO,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
40517B6C4B,01/10/1995,26/12/1997,H,EUSKAL ARTZAIN TXAKURRA (ILETSUA-GORBEIAKO) - PERRO PASTOR VASCO,LUJO Y COMPAÑIA,BURGOS,VALLE DE MENA
4057750777,28/01/1997,02/07/1997,M,ROTTWEILER,LUJO Y COMPAÑIA,SALAMANCA,SALAMANCA
403C49014A,05/04/1997,07/07/1997,H,MONTAÑA DE LOS PIRINEOS - PERRO MONTAÑA DE LOS PIRINEOS,LUJO Y COMPAÑIA,BARCELONA,BARCELONA
121659164A,01/01/1997,21/02/1998,H,POINTER,CAZA,BURGOS,BURGOS
401C296F5D,21/10/1996,21/10/1996,M,BOBTAIL - OLD ENGLISH SHEEPDOG - ANTIGUO PERRO DE PASTOR INGLES,LUJO Y COMPAÑIA,CANTABRIA,NOJA
405E6A7F1F,11/11/1996,11/11/1996,M,YORKSHIRE TERRIER,LUJO Y COMPAÑIA,CANTABRIA,COLINDRES
401D375D20,05/05/1997,18/11/1997,M,MESTIZO O CRUCE DE RAZAS NO PELIGROSAS,GUARDA DEFENSA Y UTILIDAD,ASTURIAS,GIJÓN
405F103B32,30/05/1997,13/12/1997,H,CANICHE - POODLE,LUJO Y COMPAÑIA,MADRID,ROZAS DE MADRID (LAS)
